job_id,degree,bipartite_degree_centrality,pagerank,is_isolate,component_size,community_global,community_size
J_000369,30,0.003,0.00018370631600678463,0,1559,4,1559
J_000370,34,0.0034,0.00020487809491824473,0,3102,6,1531
J_000371,36,0.0036,0.00021646419064187778,0,1550,5,1550
J_000372,31,0.0031,0.00019721875798765792,0,1565,2,1565
J_000373,31,0.0031,0.00017923231591319427,0,1562,3,1562
J_000374,33,0.0033,0.00017928903384999197,0,1505,7,1505
J_000375,31,0.0031,0.00018544759832533553,0,1562,3,1562
J_000376,32,0.0032,0.00018450070228977282,0,3102,1,1571
J_000377,32,0.0032,0.0001831199222972356,0,3102,6,1531
J_000378,32,0.0032,0.00017790074181550314,0,3102,1,1571
J_000379,34,0.0034,0.00018103666135311215,0,1505,7,1505
J_000380,33,0.0033,0.00018015552720544633,0,3102,1,1571
J_000381,35,0.0035,0.0001936694824432945,0,3102,1,1571
J_000382,33,0.0033,0.00017625485357152144,0,3102,1,1571
J_000383,33,0.0033,0.00019703215735174714,0,1562,3,1562
J_000384,35,0.0035,0.00019772855172839056,0,3102,6,1531
J_000385,35,0.0035,0.0001885719753973816,0,1505,7,1505
J_000386,35,0.0035,0.00019488431636468137,0,1505,7,1505
J_000387,33,0.0033,0.00018138020658981213,0,3102,6,1531
J_000388,30,0.003,0.00017661355564400872,0,1559,4,1559
J_000389,33,0.0033,0.00017908135115280466,0,3102,1,1571
J_000390,30,0.003,0.00018039085198559018,0,1562,3,1562
J_000391,31,0.0031,0.00018753253731946677,0,1628,0,1628
J_000392,32,0.0032,0.00019558049679993197,0,1628,0,1628
J_000393,31,0.0031,0.00019025041818966396,0,1628,0,1628
J_000394,30,0.003,0.00018515526018512225,0,1562,3,1562
J_000395,32,0.0032,0.00020365211093067957,0,1565,2,1565
J_000396,32,0.0032,0.00017940138489999055,0,1505,7,1505
J_000397,33,0.0033,0.0001821456149512686,0,3102,1,1571
J_000398,34,0.0034,0.00018750763319412276,0,1505,7,1505
J_000399,31,0.0031,0.00017204250270074026,0,3102,6,1531
J_000400,34,0.0034,0.00019172602853589904,0,1562,3,1562
J_000401,34,0.0034,0.00019472273340247334,0,1562,3,1562
J_000402,33,0.0033,0.000198589780451387,0,1562,3,1562
J_000403,31,0.0031,0.000185909459057776,0,1559,4,1559
J_000404,30,0.003,0.000201279469289797,0,1550,5,1550
J_000405,30,0.003,0.00019086289501971066,0,1565,2,1565
J_000406,32,0.0032,0.00018414470751483127,0,3102,1,1571
J_000407,33,0.0033,0.0001978522005786654,0,1559,4,1559
J_000408,31,0.0031,0.000178828428574394,0,3102,6,1531
J_000409,32,0.0032,0.00019032184771370083,0,1550,5,1550
J_000410,32,0.0032,0.0001915415108950983,0,1628,0,1628
J_000411,31,0.0031,0.00018350367241831575,0,1559,4,1559
J_000412,32,0.0032,0.0001845333810228478,0,3102,1,1571
J_000413,32,0.0032,0.00020261966946318077,0,1628,0,1628
J_000414,30,0.003,0.00017515824226410108,0,3102,6,1531
J_000415,33,0.0033,0.0001797479343062968,0,1505,7,1505
J_000416,34,0.0034,0.00019402428811980912,0,1559,4,1559
J_000417,31,0.0031,0.0001983318128795364,0,1628,0,1628
J_000418,32,0.0032,0.00018136163856574352,0,3102,1,1571
J_000419,33,0.0033,0.00022216748325759646,0,1565,2,1565
J_000420,33,0.0033,0.00020677471792624892,0,1550,5,1550
J_000421,35,0.0035,0.00019686449101712756,0,1628,0,1628
J_000422,32,0.0032,0.00019464389257590204,0,1628,0,1628
J_000423,31,0.0031,0.00018275193545230642,0,1559,4,1559
J_000424,34,0.0034,0.0001878066949781536,0,3102,6,1531
J_000425,33,0.0033,0.00020891044175425487,0,1550,5,1550
J_000426,31,0.0031,0.00017172003322973886,0,3102,1,1571
J_000427,36,0.0036,0.0002096066834479006,0,1562,3,1562
J_000428,31,0.0031,0.0001974646566513972,0,1550,5,1550
J_000429,33,0.0033,0.00018149775041781895,0,3102,6,1531
J_000430,37,0.0037,0.00020598321759086427,0,3102,6,1531
J_000431,31,0.0031,0.00020164771042238043,0,1565,2,1565
